   No     Tinit     Trise        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y
  188      8.00      0.00     1.215     119.836601       0.015150      12.000000      5.00      5.00    30.855    10.105    31.939     30.00      0.00      0.50
  189     10.00      0.00     1.102     119.835037       0.060340      12.000000      5.00      5.00   216.033    52.106   145.768     35.00      0.00      0.50
  190     10.00      0.00     1.011     119.833473       0.105530      12.000000      5.00      5.00   324.375    72.376    35.722     40.00      0.00      0.50
  191     11.00      0.00     1.092     119.831909       0.150720      12.000000      5.00      5.00   139.175    83.574   -20.921     45.00      0.00      0.50
  192     12.00      0.00     0.865     119.830338       0.195910      12.000000      5.00      5.00   136.445    65.703   -28.177     50.00      0.00      0.50
  193      1.00      0.00     0.000     119.887871      -1.928620       7.332100      5.00      5.00   180.000    45.000    90.000   -185.00      5.00      0.50
  194      1.00      0.00     0.000     119.886299      -1.883430       7.332100      5.00      5.00   180.000    45.000    90.000   -180.00      5.00      0.50
  195      1.00      0.00     0.000     119.884743      -1.838240       7.332100      5.00      5.00   180.000    45.000    90.000   -175.00      5.00      0.50
  196      1.00      0.00     0.000     119.883171      -1.793050       7.332100      5.00      5.00   180.000    45.000    90.000   -170.00      5.00      0.50
  197      1.00      0.00     0.000     119.881599      -1.747860       7.332100      5.00      5.00   180.000    45.000    90.000   -165.00      5.00      0.50
  198     40.00      0.00     0.076     119.880028      -1.702670       7.332100      5.00      5.00    93.978     9.275   130.132   -160.00      5.00      0.50
  199     39.00      0.00     0.111     119.878471      -1.657480       7.332100      5.00      5.00   146.355    81.984    96.062   -155.00      5.00      0.50
  200     37.00      0.00     0.193     119.876900      -1.612290       7.332100      5.00      5.00   144.845    26.159   -36.046   -150.00      5.00      0.50
  201     36.00      0.00     0.302     119.875328      -1.567100       7.332100      5.00      5.00   151.101    55.619   -35.073   -145.00      5.00      0.50
  202     35.00      0.00     0.631     119.873772      -1.521910       7.332100      5.00      5.00   345.844    63.383   -28.347   -140.00      5.00      0.50
  203     34.00      0.00     1.029     119.872200      -1.476720       7.332100      5.00      5.00   358.253    72.051   -26.117   -135.00      5.00      0.50
  204     33.00      0.00     1.546     119.870628      -1.431530       7.332100      5.00      5.00     9.650    82.418   -28.392   -130.00      5.00      0.50
  205     31.00      3.00     2.044     119.869072      -1.386340       7.332100      5.00      5.00   198.849    87.965    34.460   -125.00      5.00      0.50
  206     30.00      4.00     2.383     119.867500      -1.341150       7.332100      5.00      5.00   202.276    83.971    39.551   -120.00      5.00      0.50
  207     29.00      3.00     2.376     119.865929      -1.295960       7.332100      5.00      5.00   202.923    81.453    42.321   -115.00      5.00      0.50
  208     28.00      0.00     2.117     119.864372      -1.250760       7.332100      5.00      5.00   198.231    81.880    42.440   -110.00      5.00      0.50
  209     27.00      0.00     1.725     119.862801      -1.205570       7.332100      5.00      5.00   184.115    88.787    30.127   -105.00      5.00      0.50
  210     25.00      2.00     1.729     119.861229      -1.160380       7.332100      5.00      5.00   347.373    67.402     6.361   -100.00      5.00      0.50
  211     25.00      4.00     2.160     119.859673      -1.115190       7.332100      5.00      5.00   339.431    79.778     7.377    -95.00      5.00      0.50
  212     23.00      5.00     2.763     119.858101      -1.070000       7.332100      5.00      5.00   336.512    89.390     4.977    -90.00      5.00      0.50
