   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
  113     119.862801      -1.205570      15.332100     1.632   153.690    80.865   -14.617   246.061    75.572  -170.565   -105.00      5.00    0
  114     119.861229      -1.160380      15.332100     1.920   154.229    80.160    -9.306   245.833    80.832  -170.032   -100.00      5.00    0
  115     119.859673      -1.115190      15.332100     1.955   158.757    84.184    -5.768   249.343    84.262  -174.154    -95.00      5.00    0
  116     119.858101      -1.070000      15.332100     1.938   345.550    87.265    -2.716    75.680    87.287  -177.262    -90.00      5.00    0
  117     119.856537      -1.024810      15.332100     2.091   350.909    83.639   -18.043    82.976    72.072  -173.313    -85.00      5.00    0
  118     119.854973      -0.979620      15.332100     2.396   356.323    86.415   -27.083    88.155    62.975  -175.975    -80.00      5.00    0
  119     119.853401      -0.934430      15.332100     2.601   358.938    86.665   -29.896    90.853    60.160  -176.154    -75.00      5.00    0
  120     119.851837      -0.889240      15.332100     2.819   354.748    78.252   -26.297    90.494    64.294  -166.940    -70.00      5.00    0
  121     119.850273      -0.844050      15.332100     2.909   353.110    75.558   -24.806    89.686    66.028  -164.161    -65.00      5.00    0
  122     119.848701      -0.798860      15.332100     2.888   349.988    69.373   -19.643    87.155    71.663  -158.215    -60.00      5.00    0
  123     119.847137      -0.753670      15.332100     2.815   346.343    63.974   -14.781    82.947    76.747  -153.206    -55.00      5.00    0
  124     119.845612      -0.708470      15.332100     2.843   342.161    60.824   -12.467    78.312    79.136  -150.238    -50.00      5.00    0
  125     119.844040      -0.663280      15.332100     2.832   340.305    64.290    -6.958    73.336    83.734  -154.124    -45.00      5.00    0
  126     119.842468      -0.618090      15.332100     2.763   340.352    73.862     1.563   249.917    88.499   163.856    -40.00      5.00    0
  127     119.840897      -0.572900      15.332100     2.682   341.309    75.225     1.838   250.840    88.223   165.218    -35.00      5.00    0
  128     119.839333      -0.527710      15.332100     2.398   345.173    83.998     7.922   254.339    82.122   173.941    -30.00      5.00    0
  129     119.837761      -0.482520      15.332100     2.379   351.391    81.808    10.408   259.891    79.699   171.673    -25.00      5.00    0
  130     119.836189      -0.437330      15.332100     2.739   356.745    75.229    11.744   263.711    78.650   164.927    -20.00      5.00    0
  131     119.834618      -0.392140      15.332100     3.149     0.992    72.672    11.550   267.509    78.981   162.336    -15.00      5.00    0
  132     119.833054      -0.346950      15.332100     3.674   269.601    82.607   158.578     2.491    68.765     7.935    -10.00      5.00    0
  133     119.831482      -0.301760      15.332100     4.169   270.086    87.632   156.148     1.133    66.170     2.589     -5.00      5.00    0
  134     119.829910      -0.256570      15.332100     4.329    91.112    87.439  -152.567   359.783    62.597    -2.885      0.00      5.00    0
  135     119.828346      -0.211370      15.332100     4.024    92.110    83.399  -151.583   358.551    61.789    -7.495      5.00      5.00    0
  136     119.826782      -0.166180      15.332100     3.093    92.577    79.388  -155.396   357.757    65.843   -11.644     10.00      5.00    0
  137     119.825218      -0.120990      15.332100     1.919   355.501    68.775   -14.918    91.010    76.115  -158.103     15.00      5.00    0
  138     119.823647      -0.075800      15.332100     1.190   195.530    76.291    60.060    83.164    32.662   153.952     20.00      5.00    0
  139     119.822083      -0.030610      15.332100     0.974   202.750    65.721    86.982    30.056    24.455    96.656     25.00      5.00    0
  140     119.820518       0.014580      15.332100     0.956   197.010    61.175    99.728   357.436    30.288    72.932     30.00      5.00    0
  141     119.818947       0.059770      15.332100     0.974   190.350    52.079   102.477   350.549    39.625    74.500     35.00      5.00    0
  142     119.817390       0.104960      15.332100     0.995   159.155    44.194    61.713    16.046    52.132   114.737     40.00      5.00    0
  143     119.815819       0.150150      15.332100     1.070   134.585    72.044    -0.605   224.772    89.424  -162.043     45.00      5.00    0
  144     119.814247       0.195340      15.332100     0.848   135.528    61.565    -7.977   229.346    82.990  -151.331     50.00      5.00    0
  145     119.871780      -1.929190      10.664200     0.286   153.578    30.805   165.519   256.086    82.642    60.002   -185.00     10.00    0
  146     119.870209      -1.884000      10.664200     0.221   171.934    64.571   160.618   270.524    72.560    26.749   -180.00     10.00    0
  147     119.868637      -1.838810      10.664200     0.353    38.474    46.545  -134.212   273.214    58.646   -53.648   -175.00     10.00    0
  148     119.867081      -1.793620      10.664200     0.732    61.214    37.542  -128.319   286.120    61.441   -64.522   -170.00     10.00    1
  149     119.865509      -1.748430      10.664200     0.962    71.018    36.494  -130.736   297.989    63.215   -64.230   -165.00     10.00    1
  150     119.863937      -1.703240      10.664200     1.031    79.591    40.793  -141.733   318.746    66.133   -55.881   -160.00     10.00    0
