   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  150     1.215     119.890121      -1.624110      12.000000      5.00      5.00   187.480    83.021    29.325   -160.00      0.00    0
  151     1.200     119.888557      -1.578920      12.000000      5.00      5.00   187.063    84.767    25.236   -155.00      0.00    0
  152     1.171     119.886993      -1.533730      12.000000      5.00      5.00   185.562    87.176    19.266   -150.00      0.00    0
  153     1.145     119.885422      -1.488540      12.000000      5.00      5.00   183.866    88.765     8.100   -145.00      0.00    0
  154     1.201     119.883858      -1.443340      12.000000      5.00      5.00     3.019    84.505     9.025   -140.00      0.00    0
  155     1.357     119.882294      -1.398150      12.000000      5.00      5.00     1.786    81.140    20.128   -135.00      0.00    0
  156     1.554     119.880722      -1.352960      12.000000      5.00      5.00   359.779    80.992    28.145   -130.00      0.00    0
  157     1.722     119.879158      -1.307770      12.000000      5.00      5.00   357.531    80.609    30.570   -125.00      0.00    0
  158     1.851     119.877586      -1.262580      12.000000      5.00      5.00   355.346    80.997    29.552   -120.00      0.00    0
  159     1.967     119.876022      -1.217390      12.000000      5.00      5.00   354.896    77.841    24.409   -115.00      0.00    0
  160     2.104     119.874458      -1.172200      12.000000      5.00      5.00   354.970    74.262    18.122   -110.00      0.00    0
  161     2.264     119.872887      -1.127010      12.000000      5.00      5.00   354.199    74.411    11.402   -105.00      0.00    0
  162     2.410     119.871323      -1.081820      12.000000      5.00      5.00   353.349    77.287     1.596   -100.00      0.00    0
  163     2.552     119.869759      -1.036630      12.000000      5.00      5.00   353.184    80.641    -8.202    -95.00      0.00    0
  164     2.764     119.868187      -0.991440      12.000000      5.00      5.00   352.506    79.980   -16.920    -90.00      0.00    0
  165     2.914     119.866623      -0.946250      12.000000      5.00      5.00   351.142    78.028   -22.266    -85.00      0.00    0
  166     2.991     119.865059      -0.901050      12.000000      5.00      5.00   349.545    74.668   -23.851    -80.00      0.00    0
  167     3.009     119.863487      -0.855860      12.000000      5.00      5.00   347.877    71.842   -23.919    -75.00      0.00    0
  168     2.977     119.861923      -0.810670      12.000000      5.00      5.00   346.192    69.362   -22.153    -70.00      0.00    0
  169     2.872     119.860359      -0.765480      12.000000      5.00      5.00   344.841    67.714   -19.404    -65.00      0.00    0
  170     2.747     119.858788      -0.720290      12.000000      5.00      5.00   344.241    66.016   -14.830    -60.00      0.00    0
  171     2.653     119.857231      -0.675100      12.000000      5.00      5.00   344.357    67.421   -10.219    -55.00      0.00    0
  172     2.686     119.855659      -0.629910      12.000000      5.00      5.00   344.652    69.900    -3.633    -50.00      0.00    0
  173     2.742     119.854088      -0.584720      12.000000      5.00      5.00   344.512    74.356     2.865    -45.00      0.00    0
  174     2.778     119.852531      -0.539530      12.000000      5.00      5.00   344.904    78.342     9.221    -40.00      0.00    0
  175     2.789     119.850960      -0.494340      12.000000      5.00      5.00   346.596    76.980    10.834    -35.00      0.00    0
  176     2.845     119.849403      -0.449150      12.000000      5.00      5.00   350.278    71.388     9.446    -30.00      0.00    0
  177     2.912     119.847832      -0.403950      12.000000      5.00      5.00   353.932    64.490     5.040    -25.00      0.00    0
  178     3.067     119.846260      -0.358760      12.000000      5.00      5.00   357.026    59.853     2.091    -20.00      0.00    0
  179     3.280     119.844704      -0.313570      12.000000      5.00      5.00   358.525    57.341    -0.420    -15.00      0.00    0
  180     3.464     119.843132      -0.268380      12.000000      5.00      5.00   357.983    55.396    -3.488    -10.00      0.00    0
  181     3.523     119.841568      -0.223190      12.000000      5.00      5.00   357.233    54.479    -5.998     -5.00      0.00    0
  182     3.420     119.839996      -0.178000      12.000000      5.00      5.00   356.527    54.001    -8.097      0.00      0.00    0
  183     3.154     119.838432      -0.132810      12.000000      5.00      5.00   355.757    53.708    -9.861      5.00      0.00    0
  184     2.744     119.836868      -0.087620      12.000000      5.00      5.00   354.760    53.278   -11.219     10.00      0.00    0
  185     2.209     119.835297      -0.042430      12.000000      5.00      5.00   352.716    51.295   -12.863     15.00      0.00    0
  186     1.656     119.833740       0.002760      12.000000      5.00      5.00   346.800    46.697   -19.755     20.00      0.00    0
  187     1.289     119.832169       0.047950      12.000000      5.00      5.00   123.364    61.047   -79.402     25.00      0.00    1
  188     1.241     119.830597       0.093150      12.000000      5.00      5.00   131.234    62.826   -55.079     30.00      0.00    1
  189     1.272     119.829041       0.138340      12.000000      5.00      5.00   125.405    57.764   -48.704     35.00      0.00    1
  190     1.165     119.827469       0.183530      12.000000      5.00      5.00   123.177    55.012   -44.144     40.00      0.00    1
  191     0.863     119.825912       0.228720      12.000000      5.00      5.00   121.895    54.414   -44.408     45.00      0.00    1
  192     0.398     119.824341       0.273910      12.000000      5.00      5.00   122.639    57.209   -44.192     50.00      0.00    1
  193     0.376     119.881866      -1.850620       7.332100      5.00      5.00   345.839    70.553   -31.988   -185.00      5.00    0
  194     0.728     119.880302      -1.805430       7.332100      5.00      5.00   349.487    78.233   -35.979   -180.00      5.00    0
  195     1.005     119.878731      -1.760240       7.332100      5.00      5.00   353.838    84.339   -38.273   -175.00      5.00    0
