   No        D0           lonR           latR             dR         L         W    strike       dip      rake         x         y flag
  192     0.536     119.830338       0.195910      12.000000      5.00      5.00   358.000    69.000   -35.872     50.00      0.00    0
  193     0.261     119.887871      -1.928620       7.332100      5.00      5.00   358.000    69.000  -145.396   -185.00      5.00    0
  194     0.666     119.886299      -1.883430       7.332100      5.00      5.00   358.000    69.000  -140.987   -180.00      5.00    0
  195     0.974     119.884743      -1.838240       7.332100      5.00      5.00   358.000    69.000  -132.761   -175.00      5.00    0
  196     0.667     119.883171      -1.793050       7.332100      5.00      5.00   358.000    69.000  -115.147   -170.00      5.00    0
  197     0.541     119.881599      -1.747860       7.332100      5.00      5.00   358.000    69.000     5.701   -165.00      5.00    0
  198     1.688     119.880028      -1.702670       7.332100      5.00      5.00   358.000    69.000    27.515   -160.00      5.00    0
  199     2.484     119.878471      -1.657480       7.332100      5.00      5.00   358.000    69.000    28.279   -155.00      5.00    0
  200     2.542     119.876900      -1.612290       7.332100      5.00      5.00   358.000    69.000    20.927   -150.00      5.00    0
  201     2.292     119.875328      -1.567100       7.332100      5.00      5.00   358.000    69.000    13.090   -145.00      5.00    0
  202     1.932     119.873772      -1.521910       7.332100      5.00      5.00   358.000    69.000     0.190   -140.00      5.00    0
  203     1.817     119.872200      -1.476720       7.332100      5.00      5.00   358.000    69.000   -15.845   -135.00      5.00    0
  204     1.587     119.870628      -1.431530       7.332100      5.00      5.00   358.000    69.000   -21.333   -130.00      5.00    0
  205     1.320     119.869072      -1.386340       7.332100      5.00      5.00   358.000    69.000     8.981   -125.00      5.00    0
  206     1.902     119.867500      -1.341150       7.332100      5.00      5.00   358.000    69.000    49.508   -120.00      5.00    0
  207     2.507     119.865929      -1.295960       7.332100      5.00      5.00   358.000    69.000    52.453   -115.00      5.00    0
  208     2.241     119.864372      -1.250760       7.332100      5.00      5.00   358.000    69.000    42.075   -110.00      5.00    0
  209     0.979     119.862801      -1.205570       7.332100      5.00      5.00   358.000    69.000    13.649   -105.00      5.00    0
  210     1.626     119.861229      -1.160380       7.332100      5.00      5.00   358.000    69.000   -76.104   -100.00      5.00    0
  211     2.655     119.859673      -1.115190       7.332100      5.00      5.00   358.000    69.000   -78.961    -95.00      5.00    0
  212     2.696     119.858101      -1.070000       7.332100      5.00      5.00   358.000    69.000   -63.732    -90.00      5.00    0
  213     2.534     119.856537      -1.024810       7.332100      5.00      5.00   358.000    69.000   -34.206    -85.00      5.00    0
  214     3.223     119.854973      -0.979620       7.332100      5.00      5.00   358.000    69.000   -15.360    -80.00      5.00    0
  215     4.477     119.853401      -0.934430       7.332100      5.00      5.00   358.000    69.000   -12.314    -75.00      5.00    0
  216     5.586     119.851837      -0.889240       7.332100      5.00      5.00   358.000    69.000   -13.550    -70.00      5.00    0
  217     5.817     119.850273      -0.844050       7.332100      5.00      5.00   358.000    69.000   -10.636    -65.00      5.00    0
  218     5.275     119.848701      -0.798860       7.332100      5.00      5.00   358.000    69.000    -0.263    -60.00      5.00    0
  219     4.110     119.847137      -0.753670       7.332100      5.00      5.00   358.000    69.000    13.890    -55.00      5.00    0
  220     3.118     119.845612      -0.708470       7.332100      5.00      5.00   358.000    69.000    26.777    -50.00      5.00    0
  221     2.186     119.844040      -0.663280       7.332100      5.00      5.00   358.000    69.000    24.217    -45.00      5.00    0
  222     1.214     119.842468      -0.618090       7.332100      5.00      5.00   358.000    69.000   -18.162    -40.00      5.00    0
  223     1.375     119.840897      -0.572900       7.332100      5.00      5.00   358.000    69.000   -60.909    -35.00      5.00    0
  224     1.651     119.839333      -0.527710       7.332100      5.00      5.00   358.000    69.000   -59.249    -30.00      5.00    0
  225     2.241     119.837761      -0.482520       7.332100      5.00      5.00   358.000    69.000   -59.039    -25.00      5.00    0
  226     3.104     119.836189      -0.437330       7.332100      5.00      5.00   358.000    69.000   -53.940    -20.00      5.00    0
  227     3.133     119.834618      -0.392140       7.332100      5.00      5.00   358.000    69.000   -37.355    -15.00      5.00    0
  228     3.568     119.833054      -0.346950       7.332100      5.00      5.00   358.000    69.000   -27.723    -10.00      5.00    0
  229     4.977     119.831482      -0.301760       7.332100      5.00      5.00   358.000    69.000   -26.053     -5.00      5.00    0
  230     6.441     119.829910      -0.256570       7.332100      5.00      5.00   358.000    69.000   -30.103      0.00      5.00    0
  231     7.793     119.828346      -0.211370       7.332100      5.00      5.00   358.000    69.000   -35.126      5.00      5.00    0
  232     7.802     119.826782      -0.166180       7.332100      5.00      5.00   358.000    69.000   -35.699     10.00      5.00    0
  233     6.949     119.825218      -0.120990       7.332100      5.00      5.00   358.000    69.000   -41.299     15.00      5.00    0
